id;name;detail;database_name;instance_name;schema_name;hostname;port;username;password;icon;db_type;db_version;schema_count;ds_type;driver_class_name;jdbc_url;sid;creation_date;last_updated
1;Home Automated;metrics Car Cotton;Table;Cliff;Investment;Borders;88279;database;Assurance Handmade Plastic;compressing;POSTGRESQL;impactful plug-and-play reboot;20715;NOSQL;seamless Industrial;brand Village Samoa;Rustic Creative;2021-08-17T12:25:26;2021-08-17T02:41:30
2;Credit deliver;compress online multi-state;Ramp Account;directional;Functionality transition extend;Avon back-end Ball;95188;Savings;Chips Loan platforms;copy;MYSQL;payment Junction;85806;EBCDIC;Isle;Missouri;Silver;2021-08-17T05:12:18;2021-08-17T07:30:04
3;Officer;Incredible fresh-thinking Som;Tasty mint;Renminbi heuristic;Lock Research;black invoice;96920;protocol;Rustic Borders Granite;Wooden Gambia haptic;TERADATA;Electronics HDD Team-oriented;4885;XLSX;State);Clothing;port Corporate;2021-08-17T03:05:28;2021-08-17T22:00:23
4;e-enable Reduced;California Fresh Synergized;gold;cross-platform Planner maroon;quantify;facilitate parsing;15823;Bedfordshire Games;e-commerce;Intuitive Berkshire;TERADATA;Mouse Automotive Ergonomic;38328;NOSQL;envisioneer;synergize;Incredible Ecuador indexing;2021-08-17T21:29:49;2021-08-17T20:17:42
5;value-added;Stream;Nicaragua;Industrial Avenue Paradigm;eyeballs;calculate;62898;Interface;Cambridgeshire pink;Virtual connecting Mill;ORACLE;Account;40202;PARQUET;Fantastic Faso Steel;value-added plum;Bike Infrastructure;2021-08-16T23:56:20;2021-08-17T10:38:34
6;Reduced Rubber;Cotton Caribbean function;Road Tenge;deposit Strategist Borders;Sleek;compelling revolutionize Island;43572;JSON synthesizing;Trinidad monitor;Gloves;DB2;Plastic;42015;JSON;HTTP sensor Tuna;mission-critical Mall parsing;unleash;2021-08-17T16:59:03;2021-08-17T08:42:15
7;Beauty silver;Idaho invoice;Steel;matrix JBOD Paradigm;alarm;morph Computer;32722;Zambian service-desk Wooden;Ergonomic Health AGP;Supervisor microchip Streamlined;ORACLE;optical Jersey;14831;ARVO;Beauty Australian;client-driven Vermont Customer-focused;leverage;2021-08-17T20:56:44;2021-08-17T15:02:05
8;Principal Practical;Concrete Global multi-byte;SMS;Steel;turquoise Ohio;intranet Dynamic;63016;circuit;Rapid Expanded Graphic;Gabon card Small;DB2;Accountability;34783;JSON;Executive;Ramp withdrawal Pants;Keyboard RAM bus;2021-08-17T11:06:42;2021-08-17T00:32:12
9;deposit tan;Bedfordshire Division Incredible;Hat;Walk Sol;Books THX Cambridgeshire;process;99658;generating Awesome Investor;programming;Rustic;DERBY;syndicate North;76030;XLS;Account;lavender Optimization neural;Avon Human THX;2021-08-17T15:52:19;2021-08-17T10:57:58
10;XSS;Flat Grocery;violet;Massachusetts;Clothing Cambridgeshire Borders;Fresh Chad;26760;Associate Sleek;quantifying payment;orchid;SQLSERVER;FTP;49123;XLSX;bus wireless;National;Practical embrace;2021-08-17T08:43:41;2021-08-17T01:28:10
